responseId,start_time,end_time,claim,prestance,condition,see_t,see_f,see_m,see_e,share_t,share_f,share_m,share_e,poststance,yearborn,gender
2489,07/04/2018 10:24:48 AM,07/04/2018 10:26:10 AM,4,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,10,2
2490,07/04/2018 10:24:58 AM,07/04/2018 10:27:40 AM,10,1,4,-1,-1,-2,-2,-1,-1,-2,-2,1,1,2
2491,07/04/2018 10:29:52 AM,07/04/2018 10:32:07 AM,5,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,2
2492,07/04/2018 10:32:01 PM,07/04/2018 10:34:49 PM,7,-1,2,1,1,-1,-1,-1,-1,1,-2,-1,3,2
2493,07/04/2018 10:32:13 AM,07/04/2018 10:33:26 AM,1,0,2,1,1,1,1,-2,-2,-2,-2,0,1,1
2494,07/04/2018 10:32:56 AM,07/04/2018 10:35:13 AM,3,-1,4,-2,-2,1,1,-2,-2,-2,-2,0,6,1
2495,07/04/2018 10:33:25 AM,07/04/2018 10:34:58 AM,1,-2,5,2,2,2,2,1,1,-1,-1,-1,5,1
2496,07/04/2018 10:36:22 PM,07/04/2018 10:38:04 PM,6,0,5,2,2,2,-2,1,1,1,-2,1,18,2
2497,07/04/2018 10:39:05 PM,07/04/2018 10:39:56 PM,8,1,5,1,1,1,1,1,1,-1,-1,1,6,2
2498,07/04/2018 10:39:53 AM,07/04/2018 10:41:42 AM,7,0,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1
2499,07/04/2018 10:40:01 AM,07/04/2018 10:42:15 AM,6,2,4,-2,-1,-2,-2,-2,-1,-1,-2,2,8,2
2500,07/04/2018 10:41:09 PM,07/04/2018 10:42:53 PM,2,-1,2,1,1,1,1,-1,-1,-1,-1,1,6,2
2501,07/04/2018 10:41:21 PM,07/04/2018 10:42:36 PM,5,-1,5,-1,-1,-2,-1,-2,-2,-2,-2,1,1,1
2502,07/04/2018 10:41:52 AM,07/04/2018 10:44:07 AM,9,-1,2,-2,-2,-2,-2,1,-2,-2,1,-1,16,2
2503,07/04/2018 10:43:26 AM,07/04/2018 10:44:42 AM,5,-2,3,1,1,1,1,-1,-1,-1,-1,-1,1,2
2504,07/04/2018 10:44:03 AM,07/04/2018 10:45:32 AM,4,1,3,-1,-1,-1,-1,-2,-2,-2,-2,1,2,1
2505,07/04/2018 10:45:15 AM,07/04/2018 10:47:20 AM,9,0,6,-1,-1,-1,-1,-2,-2,-2,-2,-1,1,2
2506,07/04/2018 10:45:22 AM,07/04/2018 10:47:40 AM,10,1,3,-1,-1,-1,-1,-2,-2,-2,-2,-2,1,1
2507,07/04/2018 10:47:20 PM,07/04/2018 10:48:45 PM,4,-1,4,-2,-2,-2,-2,-2,-2,-2,-2,-1,1,2
2508,07/04/2018 10:47:21 PM,07/04/2018 10:53:27 PM,4,0,4,1,1,1,1,1,1,1,1,0,7,2
2509,07/04/2018 10:47:25 PM,07/04/2018 10:49:17 PM,9,0,5,1,1,1,1,1,1,1,1,0,3,1
2510,07/04/2018 10:48:00 PM,07/04/2018 10:49:29 PM,8,1,6,-2,-2,-2,-2,-2,-2,-2,-2,-2,10,1
2511,07/04/2018 10:49:14 AM,07/04/2018 10:51:00 AM,9,0,4,1,1,1,-1,-1,-1,-1,-1,0,15,2
2512,07/04/2018 10:49:54 PM,07/04/2018 10:51:00 PM,9,1,4,1,1,-1,-1,1,-1,-1,-1,1,12,1
2513,07/04/2018 10:50:33 PM,07/04/2018 10:51:55 PM,8,0,2,1,1,-1,-1,-1,-1,-1,-1,0,9,1
2514,07/04/2018 10:50:38 AM,07/04/2018 10:52:19 AM,3,-2,5,-1,-1,-1,-1,-1,-1,-1,-1,-2,1,1
2515,07/04/2018 10:50:42 AM,07/04/2018 10:52:42 AM,7,-1,3,-1,-1,-1,-1,-2,-2,-2,-2,-1,1,1
2516,07/04/2018 10:52:26 AM,07/04/2018 10:54:53 AM,8,0,2,-1,-1,-1,1,-1,-1,-1,-1,0,1,1
2517,07/04/2018 10:53:21 PM,07/04/2018 10:54:34 PM,5,1,4,1,1,1,1,-1,-1,-2,-1,1,1,1
2518,07/04/2018 10:53:34 PM,07/04/2018 10:54:37 PM,10,1,6,1,1,1,1,1,-1,-1,-1,1,8,2
2519,07/04/2018 10:53:36 PM,07/04/2018 10:54:50 PM,5,2,2,2,2,2,-1,2,2,2,-1,2,13,1
2520,07/04/2018 10:54:18 AM,07/04/2018 10:55:58 AM,7,0,1,-1,-1,-1,-1,-2,-2,-2,-2,0,3,2
2521,07/04/2018 10:54:26 PM,07/04/2018 10:55:46 PM,2,-2,4,-2,-2,-2,-1,-2,-2,-2,-2,-2,1,2
2522,07/04/2018 10:55:11 AM,07/04/2018 10:56:36 AM,6,-1,3,-2,-2,-2,-2,-2,-2,-2,-2,-1,1,1
2523,07/04/2018 10:56:18 PM,07/04/2018 10:57:22 PM,9,-1,3,-2,-2,-2,-2,-2,-2,-2,-2,-1,1,1
2524,07/04/2018 10:58:14 PM,07/04/2018 10:58:56 PM,8,-1,4,2,-1,1,-2,2,-2,1,-1,1,10,1
2525,07/04/2018 10:58:35 PM,07/04/2018 11:00:36 PM,7,1,5,1,1,-2,-1,1,1,-1,-1,1,3,1
2526,07/04/2018 11:01:03 AM,07/04/2018 11:01:48 AM,8,0,1,1,1,-2,-2,-1,-1,-2,-2,0,2,1
2527,07/04/2018 11:01:40 PM,07/04/2018 11:03:17 PM,4,-1,2,-2,-2,-2,-2,-2,-2,-2,-2,0,1,1
2528,07/04/2018 11:04:28 AM,07/04/2018 11:07:14 AM,1,1,5,1,1,1,1,-1,-1,-1,-1,1,3,2
2529,07/04/2018 11:06:52 PM,07/04/2018 11:08:12 PM,7,-2,3,1,1,1,1,-1,-1,-1,1,-2,1,2
2530,07/04/2018 11:08:17 PM,07/04/2018 11:09:28 PM,5,-1,5,1,1,1,1,-1,-1,-1,-1,0,7,2
2531,07/04/2018 11:09:22 PM,07/04/2018 11:10:54 PM,6,0,5,-2,-2,-2,-2,-2,-2,-2,-2,0,1,1
2532,07/04/2018 11:09:23 PM,07/04/2018 11:12:10 PM,2,1,4,-2,-1,1,1,1,1,1,1,-1,7,1
2533,07/04/2018 11:09:55 AM,07/04/2018 11:11:05 AM,3,1,3,1,1,1,1,1,1,1,-1,1,1,2
2534,07/04/2018 11:12:06 PM,07/04/2018 11:16:38 PM,10,-1,6,1,-1,-2,-2,-2,-1,-1,-1,1,15,1
2535,07/04/2018 11:14:52 AM,07/04/2018 11:16:00 AM,4,-2,6,-2,-2,-2,-2,-2,-2,-2,-2,-2,13,1
2536,07/04/2018 11:17:19 PM,07/04/2018 11:18:10 PM,3,-1,4,-2,-2,-1,1,-2,-2,-2,-1,0,3,1
